Food Preparation,Past Tense,Tool
blend,blended,blender
beat,beaten,whisk
blanch,blanched,
chop,chopped,knife
coat,coated,
cream,creamed,
crush,crushed,
dice,diced,knife
drain,drained,
dredge,dredged,
flake,flaked,
fillet,filleted,knife
grate,grated,grater
grind,ground,grinder
knead,kneaded,
marinate,marinated,
mash,mashed,masher
mince,minced,knife
mix,mixed,
pare,pared,knife
fold,folded,
press,pressed,
peel,peeled,peeler
season,seasoned,
shred,shredded,
slice,sliced,knife
squeeze,squeezed,
stir,stirred,spoon
strain,strained,strainer
can,canned,
dry,dried,
soften,softened,
