Ingredient Name,Vegetarian ,Healthy,East-Asian,Indian,Spanish,American,Italian,No Cuisine
water,1,1,1,1,1,1,1,0
condensed cream of chicken soup,,,,,,,,1
chicken broth,,1,1,1,1,1,1,0
chicken stock,,1,1,1,1,1,1,0
beef stock,,,,,,1,1,
condensed cream of mushroom soup,1,,,,,1,,
beef broth,,,1,,1,1,1,
vegetable broth,1,1,1,1,,,1,
vegetable stock,1,1,,,,,1,
fish stock,,1,,,,1,,
veal stock,,,,,,1,,
shrimp stock,,1,,,,1,,
bacon drippings,,,,,,1,,
pork broth,,,,,1,,,
coconut milk,1,1,1,1,,,,
milk,1,1,1,1,1,1,1,
buttermilk,1,,,1,1,1,,
low-fat milk,1,1,,,,1,,
balsamic vinegar,1,1,,,,1,1,
apple cider vinegar,1,1,1,,1,1,,
vinegar,1,1,1,1,1,1,,
