Ingredient Name,Vegetarian ,Healthy,East-Asian,Indian,Spanish,American,Italian,No Cuisine
american cheese,,,,,,,,
cheddar cheese,,,,,1,1,1,
feta cheese,,1,,,,,,
string cheese,,1,,,,,,
jack cheese,,,,,,,,
cottage cheese,,1,,,,,,
mozzarella cheese,,,,,1,1,1,
ricotta cheese,,,,,,,1,
cream cheese,,,,,1,,1,
paneer,,,1,1,,,,
parmesan cheese,,1,,,1,1,1,
romano cheese,,,,,,,1,
monterey jack cheese,,,1,,1,1,1,
provolone cheese,,,,,,1,1,
reggiano cheese,,,,,,,1,
cheese blend,,,,,1,,1,
roquefort cheese,,,,,,,1,
swiss cheese,,1,,,,1,1,
fontina cheese,,,,,,,1,
gouda cheese,,,,,,1,,
processed cheese,,,,,,1,,
cotija cheese,,,,,1,,,
queso fresco,,,,,1,,,
pepperjack cheese,,,,,1,,,
creme fraiche,,,,,1,,,
goat cheese,,,,,1,,,
queso asadero,,,,,1,,,
