Ingredient Name,Vegetarian ,Healthy,East-Asian,Indian,Spanish,American,Italian,No Cuisine
lime juice,1,1,1,1,1,,,0
water,1,1,1,1,1,1,1,0
condensed cream of chicken soup,,,,,,,,1
chicken broth,,1,1,1,1,1,1,0
chicken stock,,1,1,1,1,1,1,0
canola oil,1,1,1,1,1,1,,0
corn oil,1,,,,1,,,0
cottonseed oil,1,,,,,,,1
olive oil,1,1,1,1,1,1,1,0
safflower oil,1,,,,,1,,0
soybean oil,1,,,,,,,1
sunflower oil,1,,,,,,,1
vegetable oil,1,,1,1,1,1,1,0
butter,1,,,1,,,1,0
milk fat,,,,,,,,1
beef fat,,,,,,,,1
chicken fat,,,,,,,,1
pork fat,,,,,,,,1
lard,,,,,1,,,0
stick margarine,1,,,,,,,1
margarine,1,,,,1,1,,0
shortening,1,,,,,1,1,0
vegetable juice cocktail,1,1,,,,,,
tomato-vegetable juice cocktail,1,1,,,,,,
tomato juice,1,1,,,1,1,,
lemon juice,1,1,1,1,1,1,,
grape juice,1,1,,,,,,
wine,1,1,1,,,1,1,
balsamic vinegar,1,1,,,,1,1,
sesame oil,1,,1,,,,,
asian sesame oil,1,,1,,,,,
pineapple juice,1,1,,,,1,,
cranberry juice,1,1,,,,,,
apple juice,1,1,,,,,,
orange juice,1,1,1,,1,,1,
marsala wine,1,1,,,,,1,
lime juice,1,1,,,,,,
apple cider,1,1,,,,1,,
shiraz wine,1,1,,,,,,
tequila,1,,,,1,,,
juice concentrate,1,,,,,,,
peanut oil,1,,1,1,,1,,
apple cider vinegar,1,1,1,,1,1,,
beef stock,,,,,,1,1,
beer,1,,1,,1,1,,
coffee,1,,,,,1,,
cola,1,,,,,,,
white wine vinegar,1,1,,,,,1,
white wine,1,1,1,1,1,1,1,
red wine,1,1,,,1,,1,
coconut milk,1,1,1,1,,,,
white vinegar,1,,1,1,1,1,1,
condensed cream of mushroom soup,1,,,,,1,,
beef broth,,,1,,1,1,1,
oil,1,,1,1,,,,
cooking oil,1,,1,1,1,,,
vegetable broth,1,1,1,1,,,1,
tamarind juice,1,1,1,1,,,,
red wine vinegar,1,1,,1,1,1,1,
vinegar,1,1,1,1,1,1,,
sherry,1,,1,,,,1,
vodka,1,,,,,,1,
vegetable stock,1,1,,,,,1,
warm water,1,1,,1,,,1,
cold water,1,1,,1,,1,1,
browning sauce,1,,,,,,1,
pomegranate juice,1,1,,,,,1,
mirin,1,,1,,,,,
chili sauce,1,,1,,,,,
sake,1,,1,,,,,
whiskey,1,,,,,1,,
fish stock,,1,,,,1,,
bourbon whiskey,1,,,,,1,,
veal stock,,,,,,1,,
shrimp stock,,1,,,,1,,
cognac,1,,,,,1,,
bacon drippings,,,,,,1,,
orange liqueur,1,,,,,1,,
pork broth,,,,,1,,,
