Ingredient Name,Vegetarian ,Healthy,East-Asian,Indian,Spanish,American,Italian,No Cuisine
milk,1,1,1,1,1,1,1,
ice cream,1,,,,,1,,
buttermilk,1,,,1,1,1,,
cream,1,,1,1,1,1,1,
whey,1,1,,,,1,,
yogurt,1,1,1,1,,1,,
custard,1,,,,,1,,
low-fat milk,1,1,,,,1,,
gelato,1,,,,,,1,
evaporated milk,,,,,,1,,
american cheese,,,,,,,,
cheddar cheese,,,,,1,1,1,
feta cheese,,1,,,,,,
string cheese,,1,,,,,,
monteray jack cheese,,,,,,,,
jack cheese,,,,,,,,
cottage cheese,,1,,,,,,
mozzarella cheese,,,,,1,1,1,
ricotta cheese,,,,,,,1,
cream cheese,,,,,1,,1,
sour cream,,,,1,1,1,1,
greek yogurt,,,,,,,,
plain yogurt,,,1,1,1,,,
vanilla yogurt,,,,,,,,
ghee (clarified butter),,,1,1,,,,
half-and-half,,,1,1,,1,1,
half and half,,,1,1,,,,
cream,,,,,,,,
paneer,,,1,1,,,,
ghee,,,,1,,,,
parmesan cheese,,1,,,1,1,1,
romano cheese,,,,,,,1,
monterey jack cheese,,,1,,1,1,1,
butter,,,1,1,1,1,1,
provolone cheese,,,,,,1,1,
reggiano cheese,,,,,,,1,
cheese blend,,,,,1,,1,
roquefort cheese,,,,,,,1,
swiss cheese,,1,,,,1,1,
fontina cheese,,,,,,,1,
gouda cheese,,,,,,1,,
processed cheese,,,,,,1,,
cotija cheese,,,,,1,,,
queso fresco,,,,,1,,,
crema,,,,,1,,,
pepperjack cheese,,,,,1,,,
creme fraiche,,,,,1,,,
goat cheese,,,,,1,,,
queso asadero,,,,,1,,,
