Ingredient Name,Vegetarian ,Healthy,East-Asian,Indian,Mexican/Spanish,American,Italian,No Cuisine
apple,1,1,,,,1,,0
apricot,1,1,,,,,,1
avocado,1,1,,,1,,,0
banana,1,1,,,,,,1
bell pepper,1,1,,,,,,1
bilberry,1,1,,,,,,1
blackberry,1,1,,,,,,1
blackcurrant,1,1,,,,,,1
blood orange,1,1,,,,,,1
blueberry,1,1,,,,,,1
boysenberry,1,1,,,,,,1
breadfruit,1,1,,,,,,1
canary melon,1,1,,,,,,1
cantaloupe,1,1,,,,,,1
cherimoya,1,1,,,,,,1
cherry,1,1,,,,,,1
chili pepper,1,1,,,,,,1
clementine ,1,1,,,,1,,0
cloudberry,1,1,,,,,,1
coconut,1,1,,,,,,1
cranberry,1,1,,,,,,1
cucumber,1,1,,,,,,1
currant,1,1,,,,,,1
damson,1,1,,,,,,1
date,1,1,,,,,,1
dragonfruit,1,1,1,,,,,0
durian,1,1,1,,,,,0
eggplant,1,1,,,,,,1
elderberry,1,1,,,,,,1
feijoa,1,1,,,,,,1
fig,1,1,,,,,,1
goji berry,1,1,,,,,,1
gooseberry,1,1,,,,,,1
grape,1,1,,,,,,1
grapefruit,1,1,,,,,,1
guava,1,1,,,,,,1
honeydew,1,1,,,,,,1
huckleberry,1,1,,,,,,1
jackfruit,1,1,,,,,,1
jambul,1,1,,,,,,1
jujube,1,1,,,,,,1
kiwi fruit,1,1,,,,,,1
kumquat,1,1,,,,,,1
lemon,1,1,,,,,,1
lime,1,1,,,,,,1
loquat,1,1,,,,,,1
lychee,1,1,1,,,,,0
mandarine,1,1,,,,,,1
mango,1,1,1,,,,,0
melon,1,1,,,,,,1
mulberry,1,1,,,,,,1
nectarine,1,1,,,,,,1
nut,1,1,,,,,,1
olive,1,1,,,,,,1
orange,1,1,,,,,,1
pamelo,1,1,,,,,,1
papaya,1,1,,,,,,1
passionfruit,1,1,,,,,,1
peach,1,1,,,,,,1
pear,1,1,,,,,,1
pepper,1,1,,,,,,1
persimmon,1,1,,,,,,1
physalis,1,1,,,,,,1
pineapple,1,1,,,,,,1
plum,1,1,,,,,,1
pomegranate,1,1,,,,,,1
pomelo,1,1,,,,,,1
purple mangosteen,1,1,,,,,,1
quince,1,1,,,,,,1
raisin,1,1,,,,,,1
rambutan,1,1,,,,,,1
raspberry,1,1,,,,,,1
redcurrant,1,1,,,,,,1
rock melon,1,1,,,,,,1
salal berry,1,1,,,,,,1
satsuma,1,1,,,,,,1
star fruit,1,1,,,,,,1
strawberry,1,1,,,,,,1
tamarillo,1,1,,,,,,1
tangerine,1,1,,,,,,1
ugli fruit,1,1,,,,,,1
watermelon,1,1,,,,1,,0
western raspberry,1,1,,,,,,1
williams pear,1,1,,,,,,1
bartlett pear,1,1,,,,,,1
