ingredient name,Vegetarian ,Healthy,East-Asian,Indian,Spanish,American,Italian,No Cuisine
amaranth,1,1,,,,,,1
barley,1,1,,,,,,
buckwheat,1,1,,,,,,
bulgur (cracked wheat),1,1,,,,,,
farro emmer,1,1,,,,,,
grano,1,1,,,,,,
kamut grain,1,1,,,,,,
millet,1,1,,,,,,
oats,1,1,,,,1,,
oat cereal,1,1,,,,1,,
oatmeal,1,1,,,,,,
whole wheat cereal flakes,1,1,,,,1,,
muesli,1,,,,,,,
rolled oats,1,1,,,,,,
quinoa,1,1,,,,,,
rye,1,1,,,,,,
sorghum,1,1,,,,,,
spelt,1,1,,,,,,
teff,1,1,,,,,,
triticale,1,1,,,,,,
whole grain barley,1,1,,,,,,
wheat berries,1,1,,,,,,
whole grain cornmeal,1,1,,,,,,
whole rye,1,1,,,,,,
whole wheat couscous,1,1,,,,,,
whole wheat crackers,1,1,,,,,,
couscous,1,1,1,,,,,
grits,1,,,,,1,,
wheat germ,1,1,,,,,1,
corn husks,1,1,,,1,,,
