Ingredient Name,Vegetarian ,Healthy,East-Asian,Indian,Spanish,American,Italian,No Cuisine
lime juice,1,1,1,1,1,,,0
vegetable juice cocktail,1,1,,,,,,
tomato-vegetable juice cocktail,1,1,,,,,,
tomato juice,1,1,,,1,1,,
lemon juice,1,1,1,1,1,1,,
grape juice,1,1,,,,,,
pineapple juice,1,1,,,,1,,
cranberry juice,1,1,,,,,,
apple juice,1,1,,,,,,
orange juice,1,1,1,,1,,1,
marsala wine,1,1,,,,,1,
lime juice,1,1,,,,,,
apple cider,1,1,,,,1,,
juice concentrate,1,,,,,,,
coffee,1,,,,,1,,
cola,1,,,,,,,
tamarind juice,1,1,1,1,,,,
pomegranate juice,1,1,,,,,1,
