Name,Alternative names
Apple corer,
Apple cutter,
Baster,
Biscuit cutter,"Biscuit mould, Cookie cutter, Cookie mould"
Biscuit press,Cookie press
Blow torch,"Blowtorch, blowlamp"
Boil over preventer,"Milk watcher, Milk guard, Pot minder"
Bottle opener,
Bowl,
Bread knife,
Browning tray,"Browning plate, Browning bowl"
Butter curler,
Cake and pie server,"Cake shovel, pie cutter"
Cheese knife,
Cheesecloth,
Chef's knife,
Cherry pitter,Olive stoner
Chinoise,Chinois
Colander,
Corkscrew,
Crab cracker,Lobster cracker
Cutting board,Cutting board
Dough scraper,"Bench scraper, Scraper"
Egg piercer,
Egg poacher,
Egg separator,
Egg slicer,
Egg timer,
Fillet knife,
Fish scaler,Urokotori
Fish slice,"Spatula, turner"
Flour sifter,
Food mill,
Funnel,
Garlic press,
Grapefruit knife,
Grater,"Cheese grater, Shredder"
Gravy strainer,Gravy separator
Herb chopper,
Ladle,
Lame,
Lemon reamer,
Lemon squeezer,
Lobster pick,Lobster fork
Mandoline,
Mated colander pot,
Measuring jug,"Measuring cup, Measuring jar"
Measuring spoon,
Meat grinder,Mincer
Meat tenderiser,
Meat thermometer,
Melon baller,
Mezzaluna,
Mortar and pestle,Molcajete
Nutcracker,
Nutmeg grater,
Oven glove,Oven mitt
Pastry bag,
Pastry blender,
Pastry brush,Basting brush
Pastry wheel,
Peel,Pizza shovel
Peeler,Potato peeler
Pepper mill,"Burr mill, burr grinder, pepper grinder"
Pie bird,"Pie vent, pie funnel"
Pizza cutter,Pizza slicer
Potato masher,
Potato ricer,
Pot-holder,
Poultry shears,
Ricer,
Roller docker,
Rolling pin,
Salt shaker,
Scales,"Kitchen scales, Weighing scales"
Scissors,Kitchen scissors
Scoop,Ice cream scoop
Shellfish scraper,
Sieve,"Sifter, strainer"
Slotted spoon,Skimmer
Spatula,
Spider,"sieves, spoon sieves, spoon skimmers, or basket skimmers"
Sugar thermometer,Candy thermometer
Tamis,Drum sieve
Tin opener,Can opener
Tomato knife,
Tongs,
Trussing needle,
Whisk,"Balloon whisk, gravy whisk, flat whisk, flat coil whisk, bell whisk, and other types."
Wooden spoon,
Zester,
