Ingredient Name,Vegetarian ,Healthy,East-Asian,Indian,Mexican/Spanish,American,Italian,No Cuisine
adobo,1,1,,,1,,,
amaranth,1,1,,,1,,,
anise,1,1,,,1,,,
arrowroot,1,1,,,,,,
asafoetida,1,1,1,,,,,
bacon bits,,,,,,1,,
basil,1,1,1,,1,,1,
bay leaf,1,1,,1,,1,1,
bay leaves,1,1,,1,,1,1,
birds eye chili,1,1,1,,,,,
black pepper,1,1,,1,1,,1,
caraway,1,1,,,1,,,
cardamom,1,1,1,1,,,,
cassia,1,1,,1,,,,
celery seed,1,1,,,,,,
chaat masala,1,1,,1,,,,
chicken gravy,,,,,,1,,
chile powder,1,1,,1,1,,,
chili powder,1,1,,1,1,,,
cinnamon,1,1,1,1,1,,,
cilantro,1,1,,1,1,,,
clove,1,1,1,1,1,,,
cloves,1,1,1,1,1,,,
coriander,1,1,,1,1,,,
coriander seeds,1,1,,1,1,,,
cumin,1,1,,1,,,,
cumin,1,1,,1,1,,,
cumin seeds,1,1,,1,1,,,
curry,1,1,,1,,,,
curry leaf,1,1,,1,,,,
dark brown sugar,1,1,,,1,,,
dill weed,1,1,,,,,,
fenugrek seeds,1,1,,1,,,,
five spice powder,1,1,1,,,,,
garam masala,1,1,,1,,,,
garlic,1,1,1,1,1,1,1,
garlic powder,1,1,1,1,1,1,1,
ginger,1,1,1,1,1,1,1,
green cardomom,1,1,,1,,,,
laksa leaves,1,1,1,,,,,
lemongrass,1,1,1,,,,,
mace,1,1,,1,,,,
marjoram,1,1,,,,,1,
mint,1,1,,1,,,1,
mustard,1,1,,1,1,,,
mustard seeds,1,1,,1,,,,
nigella,1,1,,1,,,,
nutmeg,1,1,,1,1,,1,
onion powder,1,1,,,,,,
oregano,1,1,,,1,1,1,
panch foron,1,1,,1,,,,
paprika,1,1,,1,1,1,1,
parsley,1,1,,1,1,,1,
pippali,1,1,1,,,,,
radhuni,1,1,,1,,,,
red chili,1,1,,1,,,,
red pepper,1,1,,1,1,,,
rice paddy herb,1,1,1,,,,,
rosemary,1,1,,,1,1,1,
saffron,1,1,,1,1,,,
sage,1,1,,,,,1,
salt,1,,,1,,,1,
sea salt,1,1,,,1,,,
sesame seed,1,1,,,1,,,
star anise,1,1,1,,,,,
szechuan pepper,1,1,1,,,,,
tamarind,1,1,,,1,,,
tarragon,1,1,,,1,,,
thai basil,1,1,1,,,,,
thyme,1,1,,,1,1,1,
tia to,1,1,1,,,,,
turmeric,1,1,1,1,,,,
turmeric powder,1,1,,1,,,,
white peppercorn,1,1,1,,,,,
whole peppercorns,1,1,1,,,,,
wild celery,1,1,,1,,,,
worcestershire sauce,,,,,,,,
hot sauce,,,,,,,,
sriracha,,,,,,,,
pesto,,,,,,,,
soy sauce,,,,1,,,,
cayenne pepper,,,,1,,,,
terriyaki sauce,,,,,,,,
garlic salt,,,,,,,,
lemon pepper,,,,,,,,
brown sugar,,,,1,,,,
lemon zest,,,,,,,1,
steak sauce,,,,,,,,
salad dressing,,,,,,,,
lime zest,,,,,,,,
hot pepper sauce,,,,,,,,
curry powder,,,,1,,,,
fenugreek leaves,,,,1,,,,
tomato paste,,,,1,,,1,
tomato sauce,,,,1,,,,
mustard seed,,,,1,,,,
fresh curry leaves,,,,1,,,,
asafoetida powder,,,,1,,,,
dried red chile peppers,,,,1,,,,
cilantro leaves,,,,1,,,,
garlic paste,,,,1,,,,
thai sweet chili sauce,,,,,,,,
cardamom pods,,,,1,,,,
cinnamon stick,,,,1,,,,
sugar,,,,1,,,1,
tamarind paste,,,,1,,,,
ginger paste,,,,1,,,,
black cardamom pods,,,,1,,,,
cinnamon sticks,,,,1,,,,
mayonnaise,,,,1,,,,
mint,,,,,,,,
mint leaves,,,,1,,,,
tandoori masala powder,,,,1,,,,
fennel seeds,,,,,,,,
tomato puree,,,,1,,,,
chile paste,,,,,,,,
honey,,,,1,,,,
curry paste,,,,,,,,
fenugreek seeds,,,,,,,,
black peppercorns,,,,1,,,,
cumin seed,,,,1,,,,
jaggery (palm sugar),,,,,,,,
powder,,,,,,,,
coriander powder,,,,,,,,
black cardamom pod,,,,,,,,
ginger-garlic paste,,,,,,,,
fennel seed,,,,1,,,,
ketchup,,,,,,,,
cardomom seeds,,,,,,,,
cardomom seed,,,,,,,,
cranberry sauce,,,,,,,,
tamarind pulp,,,,1,,,,
chutney,,,,,,,,
red pepper flakes,,,,,,,1,
broccoli slaw,,,,,,,,
slaw,,,,,,,,
cole slaw,,,,,,,,
caraway seeds,,,,,,,,
caraway seed,,,,,,,,
star anise pod,,,,,,,,
coriander seed,,,,1,,,,
apple chutney,,,,,,,,
peppercorn,,,,,,,,
peppercorns,,,,,,,,
chicken boullion,,,,,,,,
boullion cubes,,,,,,,,
beef boullion,,,,,,,,
beef boullion cube,,,,,,,,
beef boullion cubes,,,,,,,,
chicken boullion cube,,,,,,,,
chicken boullion cubes,,,,,,,,
poppy seed,,,,,,,,
poppy seeds,,,,,,,,
saffron threads,,,,,,,,
anise seeds,,,,,,,,
anise seed,,,,,,,,
spaghetti sauce,,,,,,,,
chicken bouillon granules,,,,,,,,
italian seasoning,,,,,,,,
vegetable stock,,,,,,,,
poultry seasoning,,,,,,,,
creole seasoning,,,,,,,,
alfredo sauce,,,,,,,,
marinara sauce,,,,,,,,
