ingredient name,Vegetarian ,Healthy,East-Asian,Indian,Spanish,American,Italian,No Cuisine
amaranth,1,1,,,,,,1
barley,1,1,,,,,,
brown rice,1,1,,,,1,,
brown rice bread,1,1,,,,,,
brown rice tortilla,1,1,,,,,,
buckwheat,1,1,,,,,,
bulgur (cracked wheat),1,1,,,,,,
farro emmer,1,1,,,,,,
flaxseed,1,1,,,,,,
grano,1,1,,,,,,
kamut grain,1,1,,,,,,
millet,1,1,,,,,,
oats,1,1,,,,1,,
oat bread,1,1,,,,,,
oat cereal,1,1,,,,1,,
oatmeal,1,1,,,,,,
popcorn,1,,,,,1,,
whole wheat cereal flakes,1,1,,,,1,,
muesli,1,,,,,,,
rolled oats,1,1,,,,,,
quinoa,1,1,,,,,,
rye,1,1,,,,,,
sorghum,1,1,,,,,,
spelt,1,1,,,,,,
teff,1,1,,,,,,
triticale,1,1,,,,,,
whole grain barley,1,1,,,,,,
wheat berries,1,1,,,,,,
whole grain cornmeal,1,1,,,,,,
whole rye,1,1,,,,,,
whole wheat bread,1,1,,,,,,
whole wheat couscous,1,1,,,,,,
whole wheat crackers,1,1,,,,,,
whole wheat pasta,1,1,,,,,,
whole wheat pita bread,1,1,,,,,,
whole wheat sandwich buns and rolls,1,1,,,,,,
whole wheat tortillas,1,1,,,,,,
wild rice,1,1,,,1,,,
cornbread,1,,,,,,,
corn tortillas,1,1,,,1,1,,
couscous,1,1,1,,,,,
crackers,1,,1,,,1,,
flour tortillas,1,1,,,1,,,
grits,1,,,,,1,,
noodles,1,,1,,,,1,
spaghetti,1,1,1,,,1,1,
macaroni,1,1,,,,,1,
pitas,1,1,,,,,,
pretzels,1,1,,,,,,
white bread,1,1,,,1,1,1,
white sandwich buns and rolls,1,1,,,,,,
white rice,1,1,1,,1,1,1,
lasagne,1,1,,,,,1,
rigatoni,1,1,,,,,1,
bucatini,1,1,,,,,1,
manicotti,1,1,,,,,1,
farfalle,1,1,,,,,1,
fusilli,1,1,,,,,,
taco,1,1,,,1,,,
pho noodles,1,1,1,,,,,
roti,1,1,,1,,,,
millet,1,1,,1,,,,
fettuccini pasta,1,1,,1,,,,
pasta,1,1,,1,,1,1,
cornstarch,1,1,1,1,1,1,,
flour,1,1,1,1,1,1,1,
rice,1,1,1,1,1,1,1,
basmati rice,1,1,1,1,,,,
bread crumbs,1,1,1,1,,1,1,
baking powder,1,,1,1,1,1,,
tortellini,1,1,,,,,1,
stale italian bread,1,1,,,,,1,
manicotti shells,1,1,,,,,1,
bread,1,1,,,1,,1,
italian bread,1,1,,,,1,1,
wheat germ,1,1,,,,,1,
ciabatta rolls,1,1,,,,,1,
linguine,1,1,,,1,,1,
dough,1,1,1,,,,1,
italian rolls,1,1,,,,,1,
pasta sheets,1,1,,,,,1,
pita breads,1,1,1,,,,,
pita,1,1,1,,,,,
panko crumbs,1,1,1,,,,,
nori,1,1,1,,,,,
vermicelli,1,1,1,,,,,
tapioca starch,1,1,1,,,,,
puff pastry,1,1,1,,,1,,
hamburger buns,1,1,,,,1,,
buns,1,1,,,,1,,
french rolls,1,1,,,,1,,
ravioli,1,1,,,,1,1,
potato flakes,1,,,,,1,,
pie crust,1,1,,,,1,,
pie crusts,1,1,,,,1,,
pizza crust,1,1,,,,1,1,
pizza crusts,1,1,,,,1,1,
tortilla chips,1,1,,,,1,,
kaiser rolls,1,1,,,1,1,,
rolls,1,1,,,,1,1,
waffles,1,1,,,,1,,
fettucini,1,1,,,,1,1,
tostada shells,1,1,,,1,,,
masa,1,1,,,1,,,
masa harina,1,1,,,1,,,
corn husks,1,1,,,1,,,
tortilla,1,1,,,1,,,
